col_id,emp_id,emp_type,cost,schedule_pattern,in_final_mip,is_selected,reduced_cost
581,4,TypeC,34100,000000000111111000000000000000000000000000000000000000000000111111000000000000001111110000000000000011111100000000000000000011111000000000000000000000000000000000000000,0,0,2540016.6260919385
582,0,TypeA,59900,111111111100000000000000000000000000000000000000000000000000000001111111111000000000000000000000111111111100000000000000000000111111111100000000000001111111111000000000,0,0,3418365.2155234106
583,1,TypeB,42500,000000000000000000000001111111000000000000000000000000000000000000000011111111000000000000000000000000000111111110000000000000000000001111111100000000000000000011111110,0,0,1466957.3249319792
584,2,TypeB,42500,000000000000000000000001111111000000000000000000000000000000000000000011111111000000000000000000000000000111111110000000000000000000001111111100000000000000000011111110,0,0,1466957.3249319792
585,3,TypeC,34000,000000000111111000000000000000000000000000000000000000000000111111000000000000000000011111100000000000000111110000000000000011111000000000000000000000000000000000000000,1,0,2362661.0196190765
586,4,TypeC,34000,000000000111111000000000000000000000000000000000000000000000111111000000000000000000011111100000000000000111110000000000000011111000000000000000000000000000000000000000,1,0,2362661.0196190765
587,0,TypeA,52500,000000000000000000000000000000000000000000000000000000000000111111111000000000000000011111111100000000000000011111111110000000000000011111111110000000000001111111111000,0,0,952913.5471860226
588,1,TypeB,39100,000000000000000000000001111111000000000000000000000000000000011111111000000000000011111110000000000000000111111110000000000000000000000000000000000001111111000000000000,0,0,793309.2653587274
589,2,TypeB,39100,000000000000000000000001111111000000000000000000000000000000011111111000000000000011111110000000000000000111111110000000000000000000000000000000000001111111000000000000,0,0,793309.2653587274
590,3,TypeC,30500,000000000111111000000000000000000000000000000011100000000000111111000000000000000000011111100000000000000000000000000000000011111000000000000000000000000000000000000000,0,0,2621129.9011886017
591,4,TypeC,30500,000000000111111000000000000000000000000000000011100000000000111111000000000000000000011111100000000000000000000000000000000011111000000000000000000000000000000000000000,0,0,2621129.9011886017
592,0,TypeA,55900,000000000000000000000000000000000000000000000000111111111000000000000000000011111111110000000000000000011111111110000000000000111111111100000000000001111111111000000000,0,0,634463.8693971056
593,1,TypeB,40100,000000000000000000000001111111000000000000000000000000000000000000011111111000000000011111111000000000000111111110000000000000000000000000000000000001111111000000000000,0,0,2328248.1598166954
594,2,TypeB,40100,000000000000000000000001111111000000000000000000000000000000000000011111111000000000011111111000000000000111111110000000000000000000000000000000000001111111000000000000,0,0,2328248.1598166954
