col_id,emp_id,emp_type,cost,schedule_pattern,in_final_mip,is_selected,usage_int,usage_rmp
1172,0,TypeA,51800,000000001111111110000000000000111111111100000000000000000000000000000001111111110000000000000000000000011111111100000000000000001111111111000000000000000000000000000000,0,0,0,8
1173,1,TypeB,39800,011111111000000000000000000000000000000000000000000000001111111100000000000000111111110000000000000000001111111100000000000000000000111111000000000000000000000000000000,1,0,0,2
1174,2,TypeB,39800,011111111000000000000000000000000000000000000000000000001111111100000000000000111111110000000000000000001111111100000000000000000000111111000000000000000000000000000000,1,0,0,2
1175,3,TypeC,32000,000000000000111110000000000000000000000000000111110000000000000000000000000000000000011110000000000000000011111100000000000000000000111111000000000000000000000000000000,1,0,0,15
1176,4,TypeC,32000,000000000000111110000000000000000000000000000111110000000000000000000000000000000000011110000000000000000011111100000000000000000000111111000000000000000000000000000000,1,0,0,17
1177,0,TypeA,58900,000111111111100000000000001111111111000000000000011111111100000000000000000000000000000000000000000000000000000000000000111111111100000000000000000000111111111100000000,0,0,0,0
1178,1,TypeB,42800,000000000000111111100000000001111111000000000000011111111000000000000000000000000000000000000000000000000000000000000000001111111100000000000000000000011111111000000000,1,0,0,0
1179,2,TypeB,42800,000000000000111111100000000001111111000000000000011111111000000000000000000000000000000000000000000000000000000000000000001111111100000000000000000000011111111000000000,1,0,0,1
1180,3,TypeC,30700,000111111000000000000000000001111110000000000111110000000000000000000000000000000000000000000000000000000000000111110000000000001111110000000000000000000000000000000000,0,0,0,0
1181,4,TypeC,30700,000111111000000000000000000001111110000000000111110000000000000000000000000000000000000000000000000000000000000111110000000000001111110000000000000000000000000000000000,0,0,0,0
1182,0,TypeA,58800,000000000000000000000000001111111111000000000000011111111100000000000001111111110000000000000000000000000000000000000000111111111100000000000000000000111111111100000000,1,0,0,17
1183,1,TypeB,39400,000000000000111111100000000000000011111100000000011111111000000000000000000000111111110000000000000000000000000000000000001111111100000000000000000000000000000000000000,1,0,0,2
1184,2,TypeB,39400,000000000000111111100000000000000011111100000000011111111000000000000000000000111111110000000000000000000000000000000000001111111100000000000000000000000000000000000000,1,0,0,3
1185,3,TypeC,30700,000000000000111110000000000000000011111100000000000000011100000000000000000000000000000000000000000000000000000111110000000000001111110000000000000000000000000000000000,1,0,0,16
1186,4,TypeC,30700,000000000000111110000000000000000011111100000000000000011100000000000000000000000000000000000000000000000000000111110000000000001111110000000000000000000000000000000000,1,0,0,13
